timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1345833000,Aug 24 2012 - 6:30pm,complete,N/A,Borussia Dortmund,Werder Bremen,Felix Zwayer,1,0.00,0.00,1.94,0.82,2,1,3,1,1,0,"11,81","75",7,2,2,0,2,0,1,1,1,1,20,12,7,10,13,2,20,15,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Signal-Iduna-Park (Dortmund)
1345901400,Aug 25 2012 - 1:30pm,complete,N/A,Borussia M'gladbach,Hoffenheim,Peter Sippel,1,0.00,0.00,1.71,0.71,2,1,3,1,1,0,"33,79","66",6,4,2,0,0,0,1,1,0,0,7,14,5,7,2,7,11,6,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion im BORUSSIA-PARK (Mönchengladbach)
1345901400,Aug 25 2012 - 1:30pm,complete,N/A,Freiburg,Mainz 05,Deniz Aytekin,1,0.00,0.00,1.65,0.94,1,1,2,0,0,0,"49","65",9,8,0,0,2,0,0,0,0,2,10,9,6,6,4,3,15,13,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Schwarzwald-Stadion (Freiburg im Breisgau)
1345901400,Aug 25 2012 - 1:30pm,complete,N/A,Augsburg,Fortuna Düsseldorf,Knut Kircher,1,0.00,0.00,1.18,0.53,0,2,2,0,0,0,"","68,79",3,0,3,0,2,0,2,1,1,1,18,10,10,4,8,6,19,16,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,WWK Arena (Augsburg)
1345901400,Aug 25 2012 - 1:30pm,complete,N/A,Hamburger SV,Nürnberg,Marco Fritz,1,0.00,0.00,1.53,1.00,0,1,1,0,0,0,"","68",9,5,4,0,2,0,1,3,0,2,11,18,9,10,2,8,20,22,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Volksparkstadion (Hamburg)
1345901400,Aug 25 2012 - 1:30pm,complete,N/A,Greuther Fürth,Bayern München,Peter Gagelmann,1,0.00,0.00,0.24,2.76,0,3,3,1,0,1,"","43,59,79",2,4,2,0,2,0,1,1,0,2,7,19,3,15,4,4,22,14,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sportpark Ronhof Thomas Sommer (Fürth)
1345912200,Aug 25 2012 - 4:30pm,complete,N/A,Eintracht Frankfurt,Bayer Leverkusen,Thorsten Kinhöfer,1,0.00,0.00,1.82,1.53,2,1,3,1,0,1,"57,82","30",6,7,1,0,2,0,1,0,1,1,21,19,16,16,5,3,17,23,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Deutsche Bank Park (Frankfurt am Main)
1345920300,Aug 25 2012 - 6:45pm,complete,N/A,Stuttgart,Wolfsburg,Tobias Welz,1,0.00,0.00,1.12,1.53,0,1,1,0,0,0,"","90",7,6,1,0,0,0,1,0,0,0,11,15,6,12,5,3,16,22,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Mercedes-Benz-Arena (Stuttgart)
1345995000,Aug 26 2012 - 3:30pm,complete,N/A,Hannover 96,Schalke 04,Felix Brych,1,0.00,0.00,1.88,1.29,2,2,4,1,1,0,"43,80","52,64",3,6,1,0,3,0,1,0,1,2,13,15,7,12,6,3,13,20,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HDI-Arena (Hannover)
1346437800,Aug 31 2012 - 6:30pm,complete,28237,Mainz 05,Greuther Fürth,Tobias Stieler,2,0.00,0.00,1.53,1.00,0,1,1,0,0,0,"","66",8,0,1,0,3,0,1,0,2,1,12,9,10,5,2,4,19,26,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,OPEL ARENA (Mainz)
