timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,league
1498579200,Jun 27 2017 - 4:00pm,complete,3300.0,Alashkert,FC Santa Coloma,Stefan Apostolov,,0.0,0.0,1.25,0.5,1,0,1,1,1,0,39,,7,0,3,0,3,0,1,2,1,2,19,6,6,2,13,4,18,12,50,50,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.11,6.25,18.5,1.29,1.74,2.8,5.5,2.63,1.44,Vazgen Sargsyan anvan Hanrapetakan Marzadasht,finetuning
1498586400,Jun 27 2017 - 6:00pm,complete,841.0,Víkingur,Trepça'89,Juri Frischer,,0.0,0.0,1.75,0.0,2,1,3,2,1,1,"17,73",39,4,4,1,0,1,0,0,1,1,0,8,15,4,7,4,8,-1,-1,50,50,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.8,3.1,2.4,1.42,2.31,4.33,8.0,1.6,2.3,Tórsvøllur,finetuning
1498586400,Jun 27 2017 - 6:00pm,complete,1068.0,Hibernians,FCI Tallinn,Fedayi San,,0.0,0.0,1.5,0.0,2,0,2,0,0,0,"62,73",,6,5,2,0,3,0,2,0,1,2,11,8,6,5,5,3,13,19,50,50,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.75,3.5,4.2,1.33,2.0,3.75,7.0,1.91,1.8,Hibernians Stadium,finetuning
1498586400,Jun 27 2017 - 6:00pm,complete,1148.0,The New Saints,Europa,Luca Barbeno,,0.0,0.0,0.75,1.5,1,2,3,2,1,1,44,"8,78",6,3,3,0,2,0,2,1,0,2,4,11,2,4,2,7,-1,-1,50,50,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.45,4.5,6.5,1.14,1.53,2.38,4.33,1.91,1.8,Park Hall Stadium,finetuning
1498675500,Jun 28 2017 - 6:45pm,complete,2839.0,Linfield,La Fiorita,Duje Strukan,,0.0,0.0,1.0,0.5,1,0,1,0,0,0,89,,5,1,1,0,3,0,0,1,1,2,14,5,7,0,7,5,13,18,50,50,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.1,7.25,16.0,1.07,1.31,1.88,2.9,2.1,1.67,Windsor Park,finetuning
1499184000,Jul 04 2017 - 4:00pm,complete,12000.0,Trepça'89,Víkingur,Alexander Harkam,,0.0,3.0,0.0,1.75,1,4,5,2,0,2,65,"37,40,52,59",4,2,5,1,3,0,3,3,2,1,19,10,9,6,10,4,-1,-1,50,50,0.0,0.0,0.0,0.0,3.0,100,100,100,0,0,100,100,0,100,8.0,2.0,1.44,5.0,7.0,1.13,1.48,2.27,4.25,1.62,2.2,Stadiumi Olimpik Adem Jashari (Mitrovicë (Kosovska Mitrovica)),finetuning
1499184000,Jul 04 2017 - 4:00pm,complete,995.0,FCI Tallinn,Hibernians,Alex de Albuquerque Troleis,,0.0,3.0,0.0,1.5,0,1,1,0,0,0,,88,5,1,2,0,0,0,0,2,0,0,12,9,4,6,8,3,13,14,50,50,0.0,0.0,0.0,0.0,2.0,0,100,0,0,0,0,0,100,100,11.0,5.0,1.85,3.75,4.2,1.25,1.85,3.15,6.0,1.73,2.0,A. Le Coq Arena,finetuning
1499189400,Jul 04 2017 - 5:30pm,complete,261.0,Europa,The New Saints,Lawrence Visser,,3.0,0.0,1.5,0.75,1,3,4,2,0,2,53,"37,41,104",3,7,5,2,5,0,0,7,2,3,7,10,2,4,5,6,19,22,50,50,0.0,0.0,0.0,0.0,3.0,100,100,100,0,0,100,100,0,100,9.0,5.0,2.15,3.75,3.2,1.13,1.54,2.25,3.9,1.44,2.63,Estádio Do Algarve (São João da Venda),finetuning
1499193000,Jul 04 2017 - 6:30pm,complete,850.0,FC Santa Coloma,Alashkert,Sven Bindels,,0.0,3.0,0.5,1.25,1,1,2,1,0,1,63,28,5,2,7,0,2,0,2,5,1,1,8,12,2,2,6,10,22,16,50,50,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,100,0,0,7.0,6.0,6.0,3.75,1.67,1.33,2.16,3.8,8.0,2.2,1.62,Estadi Comunal d'Andorra la Vella (Andorra la Vella),finetuning
1499193000,Jul 04 2017 - 6:30pm,complete,911.0,La Fiorita,Linfield,Fyodor Zammit,,0.0,3.0,0.5,1.0,0,0,0,0,0,0,,,1,4,2,0,2,0,1,1,1,1,7,8,4,3,3,5,17,23,45,55,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,100,6.0,4.0,9.0,4.8,1.4,1.29,2.05,3.54,7.0,2.38,1.53,Stadio Olimpico di Serravalle,finetuning
